# Program:featureCounts v1.6.2; Command:"/work/02238/strader/lonestar/subread-1.6.2-source/bin/featureCounts" "-T" "5" "-M" "-O" "-a" "/scratch/02238/strader/Spurp/genome/Strongylocentrotus_purpuratus.Spur_3.1.39_pro.gtf" "-t" "gene" "-g" "gene_id" "-o" "MEDIP_proCounts_10July2018.txt" "BB1_BL__cleaned_Sorted_dupsRemoved.bam" "BB1_G__cleaned_Sorted_dupsRemoved.bam" "BB1_PR__cleaned_Sorted_dupsRemoved.bam" "BB2_BL__cleaned_Sorted_dupsRemoved.bam" "BB2_G__cleaned_Sorted_dupsRemoved.bam" "BB2_PR__cleaned_Sorted_dupsRemoved.bam" "BB3_BL__cleaned_Sorted_dupsRemoved.bam" "BB3_G__cleaned_Sorted_dupsRemoved.bam" "BB3_PR__cleaned_Sorted_dupsRemoved.bam" "BR1_BL__cleaned_Sorted_dupsRemoved.bam" "BR1_G__cleaned_Sorted_dupsRemoved.bam" "BR1_PR__cleaned_Sorted_dupsRemoved.bam" "BR2_BL__cleaned_Sorted_dupsRemoved.bam" "BR2_PR__cleaned_Sorted_dupsRemoved.bam" "BR3_BL__cleaned_Sorted_dupsRemoved.bam" "BR3_G__cleaned_Sorted_dupsRemoved.bam" "BR3_PR__cleaned_Sorted_dupsRemoved.bam" "RB1_BL__cleaned_Sorted_dupsRemoved.bam" "RB1_G__cleaned_Sorted_dupsRemoved.bam" "RB1_PR__cleaned_Sorted_dupsRemoved.bam" "RB2_BL__cleaned_Sorted_dupsRemoved.bam" "RB2_G__cleaned_Sorted_dupsRemoved.bam" "RB2_PR__cleaned_Sorted_dupsRemoved.bam" "RB3_BL__cleaned_Sorted_dupsRemoved.bam" "RB3_G__cleaned_Sorted_dupsRemoved.bam" "RB3_PR__cleaned_Sorted_dupsRemoved.bam" "RR1_BL__cleaned_Sorted_dupsRemoved.bam" "RR1_G__cleaned_Sorted_dupsRemoved.bam" "RR1_PR__cleaned_Sorted_dupsRemoved.bam" "RR2_BL__cleaned_Sorted_dupsRemoved.bam" "RR2_G__cleaned_Sorted_dupsRemoved.bam" "RR2_PR__cleaned_Sorted_dupsRemoved.bam" "RR3_BL__cleaned_Sorted_dupsRemoved.bam" "RR3_G__cleaned_Sorted_dupsRemoved.bam" "RR3_PR__cleaned_Sorted_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	BB1_BL__cleaned_Sorted_dupsRemoved.bam	BB1_G__cleaned_Sorted_dupsRemoved.bam	BB1_PR__cleaned_Sorted_dupsRemoved.bam	BB2_BL__cleaned_Sorted_dupsRemoved.bam	BB2_G__cleaned_Sorted_dupsRemoved.bam	BB2_PR__cleaned_Sorted_dupsRemoved.bam	BB3_BL__cleaned_Sorted_dupsRemoved.bam	BB3_G__cleaned_Sorted_dupsRemoved.bam	BB3_PR__cleaned_Sorted_dupsRemoved.bam	BR1_BL__cleaned_Sorted_dupsRemoved.bam	BR1_G__cleaned_Sorted_dupsRemoved.bam	BR1_PR__cleaned_Sorted_dupsRemoved.bam	BR2_BL__cleaned_Sorted_dupsRemoved.bam	BR2_PR__cleaned_Sorted_dupsRemoved.bam	BR3_BL__cleaned_Sorted_dupsRemoved.bam	BR3_G__cleaned_Sorted_dupsRemoved.bam	BR3_PR__cleaned_Sorted_dupsRemoved.bam	RB1_BL__cleaned_Sorted_dupsRemoved.bam	RB1_G__cleaned_Sorted_dupsRemoved.bam	RB1_PR__cleaned_Sorted_dupsRemoved.bam	RB2_BL__cleaned_Sorted_dupsRemoved.bam	RB2_G__cleaned_Sorted_dupsRemoved.bam	RB2_PR__cleaned_Sorted_dupsRemoved.bam	RB3_BL__cleaned_Sorted_dupsRemoved.bam	RB3_G__cleaned_Sorted_dupsRemoved.bam	RB3_PR__cleaned_Sorted_dupsRemoved.bam	RR1_BL__cleaned_Sorted_dupsRemoved.bam	RR1_G__cleaned_Sorted_dupsRemoved.bam	RR1_PR__cleaned_Sorted_dupsRemoved.bam	RR2_BL__cleaned_Sorted_dupsRemoved.bam	RR2_G__cleaned_Sorted_dupsRemoved.bam	RR2_PR__cleaned_Sorted_dupsRemoved.bam	RR3_BL__cleaned_Sorted_dupsRemoved.bam	RR3_G__cleaned_Sorted_dupsRemoved.bam	RR3_PR__cleaned_Sorted_dupsRemoved.bam
SPU_021879	Scaffold46	443457	444457	-	1001	33	80	60	58	6	29	37	47	63	69	56	39	20	30	39	25	21	70	53	26	58	9	33	41	38	31	27	34	34	40	8	19	29	14	34
SPU_002352	Scaffold46	440230	441230	-	1001	28	59	37	38	2	20	21	27	40	38	39	21	16	19	29	25	20	45	32	18	42	8	22	30	29	23	23	26	27	33	3	16	20	11	31
SPU_002351	Scaffold46	455543	456543	+	1001	3	2	3	2	0	0	0	6	2	4	2	0	0	1	1	1	0	4	1	1	2	1	1	1	0	5	1	1	10	2	2	0	4	0	0
SPU_022449	Scaffold46	613668	614668	-	1001	2	10	10	1	0	0	1	4	6	6	4	0	1	5	2	1	3	8	10	0	6	0	1	3	4	7	5	6	7	5	0	5	5	2	4
SPU_014707	Scaffold46	682994	683994	-	1001	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1
SPU_026481	Scaffold46	843639	844639	-	1001	0	2	5	6	1	1	2	5	11	16	4	5	5	5	2	7	4	7	3	2	6	1	1	5	5	4	5	5	6	3	0	1	3	0	3
SPU_011571	Scaffold46	889322	890322	-	1001	7	17	17	17	7	13	8	10	19	8	17	7	18	6	9	20	19	28	23	28	13	4	25	21	29	13	14	11	13	18	11	14	26	9	17
SPU_013696	Scaffold46	766641	767641	-	1001	2	3	5	2	1	1	0	3	1	3	3	2	0	2	1	1	2	2	0	0	0	0	0	1	2	2	0	0	0	3	1	1	0	1	0
SPU_015952	Scaffold46	844307	845307	-	1001	4	15	17	10	1	1	2	14	15	25	6	3	12	8	9	14	4	24	17	8	10	0	9	10	13	9	7	7	23	4	1	4	15	1	7
SPU_028122	Scaffold46	829308	830308	-	1001	3	22	17	5	5	4	8	18	17	26	7	7	11	5	3	11	10	16	10	17	3	2	6	5	15	12	10	3	13	4	1	6	14	2	16
SPU_005453	Scaffold46	891139	892139	-	1001	15	50	26	25	6	30	47	24	49	29	42	21	21	22	21	39	21	47	36	43	18	3	15	33	35	27	15	17	31	36	10	28	32	29	25
SPU_027099	Scaffold338	6433	7433	-	1001	24	63	52	44	17	34	36	46	63	49	46	26	40	36	29	44	33	77	53	48	51	13	39	37	61	43	33	37	48	46	19	46	32	25	50
SPU_027098	Scaffold338	10891	11891	-	1001	0	1	2	0	0	0	0	0	2	2	0	0	0	2	1	2	0	1	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	1	0
SPU_027092	Scaffold338	31081	32081	+	1001	0	3	2	1	0	0	1	0	6	8	1	1	4	2	0	2	0	13	0	0	1	1	1	4	3	2	2	0	3	4	2	0	0	1	4
SPU_027093	Scaffold338	41027	42027	+	1001	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	1	1	2
SPU_027094	Scaffold338	60787	61787	+	1001	2	1	0	1	0	0	0	2	1	4	0	0	0	0	0	2	0	2	1	2	1	0	0	2	1	1	1	0	0	2	2	0	2	1	0
SPU_027097	Scaffold338	86239	87239	-	1001	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPU_027096	Scaffold338	108827	109827	-	1001	0	6	4	3	1	0	1	8	8	3	7	1	2	2	1	2	1	4	4	3	3	0	0	3	2	2	3	1	4	1	0	0	2	2	3
SPU_027095	Scaffold338	117046	118046	+	1001	3	5	4	5	1	1	3	2	6	7	0	0	5	2	3	2	3	15	2	4	3	2	5	4	1	5	8	1	6	7	1	4	5	4	4
SPU_011977	Scaffold338	171897	172897	+	1001	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	1	0	0
SPU_018296	Scaffold338	229257	230257	-	1001	3	4	5	3	0	0	2	2	1	6	7	0	2	0	2	2	3	4	8	0	1	0	1	2	1	2	2	2	2	2	0	2	0	0	2
SPU_018297	Scaffold338	271123	272123	-	1001	4	4	2	2	4	1	2	6	1	1	3	0	2	4	1	2	1	2	2	1	1	0	3	1	6	4	2	2	4	0	0	4	2	2	3
SPU_018295	Scaffold338	299464	300464	-	1001	0	9	6	1	1	2	1	5	5	7	3	1	4	2	4	3	0	8	4	0	6	1	3	3	2	4	4	3	4	5	1	0	3	5	1
SPU_019242	Scaffold338	288359	289359	-	1001	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	1	0	0	1	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	1
SPU_019241	Scaffold338	299464	300464	-	1001	0	9	6	1	1	2	1	5	5	7	3	1	4	2	4	3	0	8	4	0	6	1	3	3	2	4	4	3	4	5	1	0	3	5	1
SPU_019237	Scaffold338	304502	305502	+	1001	2	4	6	4	0	2	2	5	7	9	3	1	2	6	2	4	0	10	3	1	1	2	1	1	1	2	1	0	2	2	1	5	2	2	3
SPU_019240	Scaffold338	346025	347025	-	1001	1	3	0	3	0	0	2	2	3	1	1	0	2	2	2	1	1	3	4	0	3	0	0	0	3	0	1	2	1	0	0	1	0	1	0
SPU_019239	Scaffold338	372692	373692	-	1001	0	3	3	0	0	1	0	2	1	2	2	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	2
SPU_019238	Scaffold338	399777	400777	-	1001	3	5	7	1	0	0	1	4	3	11	1	1	5	4	2	3	1	6	4	1	6	0	0	0	4	1	2	0	5	3	1	4	1	3	5
SPU_015387	Scaffold338	413132	414132	-	1001	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SPU_015385	Scaffold338	416396	417396	+	1001	0	2	5	2	0	3	1	1	2	3	3	1	2	3	2	0	3	7	2	0	1	1	1	3	2	2	1	1	3	3	1	1	0	0	2
SPU_007084	Scaffold338	423982	424982	+	1001	7	12	12	10	2	3	3	13	11	14	10	10	6	7	10	9	8	17	9	12	3	1	5	15	16	7	11	7	14	5	0	7	10	5	9
SPU_007083	Scaffold338	442149	443149	-	1001	2	1	3	0	0	0	1	5	8	3	2	0	3	4	1	3	2	6	2	0	2	1	1	1	2	2	0	2	1	3	0	0	1	0	2
SPU_007082	Scaffold338	446896	447896	-	1001	1	0	2	2	0	1	1	0	1	0	0	1	2	2	2	1	0	4	7	2	3	0	4	1	3	0	3	5	5	4	1	2	4	1	2
SPU_000881	Scaffold338	458978	459978	+	1001	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	2	1	0	0	0	0	0	1	0	1
SPU_007081	Scaffold338	492184	493184	-	1001	0	2	3	0	1	0	0	0	2	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	1	1	1	2	1	0	0	0	1	1
SPU_020695	Scaffold338	499764	500764	-	1001	0	4	0	1	0	0	1	3	2	4	0	0	1	0	2	4	0	4	0	0	0	0	0	0	1	0	2	2	3	0	0	2	0	1	1
SPU_007117	Scaffold338	499764	500764	-	1001	0	4	0	1	0	0	1	3	2	4	0	0	1	0	2	4	0	4	0	0	0	0	0	0	1	0	2	2	3	0	0	2	0	1	1
SPU_020691	Scaffold338	509955	510955	+	1001	35	65	63	53	23	43	48	53	61	64	59	37	51	26	40	42	49	71	49	66	65	12	55	60	51	44	57	41	48	54	24	51	49	50	37
SPU_004674	Scaffold338	515839	516839	+	1001	10	21	35	20	1	8	12	21	29	34	24	14	17	15	20	19	21	21	18	17	20	4	12	22	19	25	11	16	19	14	7	14	10	16	16
SPU_020694	Scaffold338	570674	571674	-	1001	6	22	9	14	7	14	14	12	13	12	19	15	12	17	9	15	13	19	14	11	2	4	10	13	14	7	8	8	12	10	7	7	10	10	14
SPU_020693	Scaffold338	602952	603952	-	1001	22	40	36	19	32	23	16	13	26	26	15	21	22	13	15	30	15	23	24	12	17	3	9	31	17	13	20	14	28	19	13	10	21	9	17
SPU_020692	Scaffold338	634385	635385	+	1001	25	62	69	64	17	35	37	79	66	106	70	48	66	41	44	63	59	110	58	71	64	15	68	65	89	69	60	49	62	65	10	51	68	31	55
SPU_013741	Scaffold338	655721	656721	+	1001	3	31	11	8	1	9	6	11	14	14	24	8	9	7	9	9	6	18	8	11	20	2	5	17	15	10	7	9	22	9	4	13	12	4	10
SPU_007086	Scaffold338	663501	664501	+	1001	3	1	13	1	0	0	0	4	6	5	5	1	3	5	5	2	4	21	2	5	6	0	3	2	8	5	1	1	3	4	0	4	3	0	1
SPU_013043	Scaffold338	711658	712658	-	1001	2	4	9	10	0	5	2	4	5	10	2	0	3	3	3	8	5	3	3	1	1	5	1	1	5	3	5	3	5	4	2	2	2	0	1
SPU_008343	Scaffold338	765112	766112	+	1001	5	12	6	4	3	2	3	6	1	7	3	0	3	4	3	8	1	7	6	4	1	0	5	1	5	1	4	2	3	6	2	3	2	1	2
SPU_006342	Scaffold338	781763	782763	+	1001	12	31	24	9	11	18	17	27	23	26	35	18	18	10	29	23	27	38	22	30	19	9	23	18	37	25	25	22	23	23	6	23	24	17	18
SPU_006343	Scaffold338	787658	788658	+	1001	8	27	24	22	10	18	9	18	23	28	22	9	17	16	9	34	16	27	15	21	15	2	15	17	22	16	15	13	22	26	7	11	18	7	15
SPU_008344	Scaffold338	787658	788658	+	1001	8	27	24	22	10	18	9	18	23	28	22	9	17	16	9	34	16	27	15	21	15	2	15	17	22	16	15	13	22	26	7	11	18	7	15
SPU_003193	Scaffold338	829036	830036	-	1001	14	32	41	37	16	34	20	32	31	26	33	21	24	19	28	33	31	42	31	41	23	14	37	34	45	33	34	20	27	32	17	25	24	19	35
SPU_027387	Scaffold249	2945	3945	+	1001	3	12	3	5	4	0	1	5	14	4	5	2	2	4	3	2	3	10	6	4	4	2	4	6	6	8	3	4	6	5	3	1	5	4	5
SPU_004584	Scaffold249	62522	63522	+	1001	0	2	2	0	2	4	0	0	2	1	2	1	0	0	1	0	1	1	2	0	0	0	0	2	0	1	1	1	1	0	0	3	3	1	2
SPU_004585	Scaffold249	74204	75204	+	1001	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2
SPU_004594	Scaffold249	86285	87285	-	1001	2	4	5	0	3	2	1	2	9	3	4	1	4	2	2	5	2	8	3	5	2	3	2	2	5	2	2	1	2	2	0	3	4	0	3
SPU_004593	Scaffold249	93086	94086	-	1001	1	0	3	0	0	0	0	4	1	1	3	1	0	8	2	4	0	3	0	2	0	0	1	1	3	1	6	1	3	2	0	1	4	1	1
SPU_004592	Scaffold249	124688	125688	-	1001	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0
SPU_004586	Scaffold249	133353	134353	+	1001	0	6	4	1	1	0	2	2	6	5	1	0	1	5	4	0	1	3	3	1	2	0	1	4	3	1	2	1	2	0	0	4	2	1	2
SPU_004591	Scaffold249	175581	176581	-	1001	14	73	61	52	13	35	35	57	63	72	55	36	56	22	34	60	48	91	47	65	41	16	54	57	70	54	43	56	66	51	19	52	50	28	49
SPU_027809	Scaffold249	228715	229715	-	1001	4	11	6	4	0	4	3	3	6	3	6	0	1	4	5	2	4	3	3	1	0	0	2	0	3	1	0	0	2	1	0	1	0	2	0
SPU_019232	Scaffold249	242193	243193	+	1001	1	10	9	8	7	1	4	5	10	7	5	8	3	3	4	8	8	21	8	13	4	1	4	5	6	8	3	3	4	7	2	3	5	4	6
SPU_019233	Scaffold249	242193	243193	+	1001	1	10	9	8	7	1	4	5	10	7	5	8	3	3	4	8	8	21	8	13	4	1	4	5	6	8	3	3	4	7	2	3	5	4	6
SPU_004590	Scaffold249	259524	260524	-	1001	2	11	21	6	1	6	5	14	14	23	9	12	8	5	7	12	3	19	14	11	6	2	9	10	16	15	12	9	17	7	0	14	16	6	17
SPU_003515	Scaffold249	255088	256088	-	1001	14	45	32	25	6	18	19	37	46	50	40	17	21	26	24	35	26	59	26	20	19	13	14	27	37	29	18	34	34	33	0	21	32	18	21
SPU_004587	Scaffold249	307679	308679	+	1001	0	3	1	0	1	0	0	1	5	0	1	1	1	1	0	2	1	1	2	0	2	0	0	0	1	2	0	0	5	6	0	1	0	1	6
SPU_004589	Scaffold249	347476	348476	-	1001	10	23	35	18	9	4	10	15	28	22	17	6	17	12	18	14	8	27	21	18	17	3	7	18	31	20	11	14	25	8	2	14	23	9	16
SPU_004588	Scaffold249	371254	372254	-	1001	8	20	21	11	10	10	5	15	21	35	13	13	8	6	12	22	16	35	16	17	17	6	20	19	17	20	17	10	20	13	6	11	14	8	14
SPU_010318	Scaffold249	416813	417813	+	1001	0	2	2	0	0	0	0	0	2	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1
SPU_010319	Scaffold249	427178	428178	+	1001	0	2	1	1	1	0	1	3	2	4	0	0	0	3	0	1	0	5	1	0	1	0	0	0	2	0	1	0	2	1	3	2	1	2	1
SPU_010320	Scaffold249	429859	430859	+	1001	0	0	1	0	0	0	0	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	0	1	0	0	1
SPU_021950	Scaffold249	474326	475326	-	1001	6	26	22	23	8	10	21	27	27	33	23	14	25	9	17	27	15	50	27	24	15	6	22	18	27	26	20	23	20	25	10	16	23	12	14
SPU_024688	Scaffold249	617011	618011	+	1001	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
SPU_024685	Scaffold249	650908	651908	-	1001	0	2	1	1	1	0	1	2	1	5	5	1	4	3	3	3	0	5	1	0	2	0	0	1	0	2	1	1	4	3	1	1	1	1	3
SPU_024689	Scaffold249	692929	693929	+	1001	0	3	1	0	0	0	0	1	3	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0
SPU_024684	Scaffold249	722954	723954	-	1001	0	8	2	2	0	0	1	2	4	6	1	0	0	1	1	0	1	1	2	1	3	1	2	2	1	3	1	2	3	1	0	2	3	3	1
SPU_011237	Scaffold249	778717	779717	-	1001	1	9	11	3	2	2	4	5	9	17	3	0	8	6	3	6	0	12	9	3	3	2	2	1	3	4	3	3	11	9	0	4	6	2	3
SPU_007439	Scaffold249	774924	775924	-	1001	0	0	0	0	0	0	0	0	1	2	1	0	2	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0
SPU_011236	Scaffold249	787316	788316	-	1001	2	15	9	5	6	2	4	4	6	11	7	2	3	7	3	3	3	22	3	6	4	0	2	4	3	7	12	3	4	5	8	0	10	5	3
SPU_011636	Scaffold249	808718	809718	+	1001	0	1	8	2	10	1	0	6	0	3	6	0	1	0	4	2	1	2	0	2	0	0	2	0	0	0	0	0	2	2	0	0	1	3	1
SPU_018334	Scaffold249	830118	831118	+	1001	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SPU_001865	Scaffold249	870123	871123	+	1001	1	5	1	0	0	1	1	2	3	3	0	0	3	1	0	0	2	3	0	0	2	0	0	0	1	2	2	0	1	0	0	1	2	1	0
SPU_001866	Scaffold249	889567	890567	+	1001	3	5	4	4	1	2	3	1	1	7	2	1	0	1	1	3	0	6	2	3	2	0	1	1	2	1	1	3	3	4	2	0	6	1	0
SPU_002948	Scaffold151	12605	13605	-	1001	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SPU_021938	Scaffold151	75878	76878	-	1001	2	18	15	12	6	6	19	9	20	2	3	18	16	6	14	21	11	10	11	15	11	8	11	14	11	5	15	5	9	7	17	4	9	4	18
SPU_018824	Scaffold151	188017	189017	+	1001	5	23	15	10	4	4	7	17	20	20	13	8	13	13	12	17	10	23	8	14	17	2	13	17	15	13	9	13	13	15	5	9	11	7	12
SPU_015336	Scaffold151	196806	197806	+	1001	7	22	31	17	1	12	7	26	18	46	17	15	13	9	20	13	19	72	41	33	16	7	16	15	28	21	21	15	20	18	1	18	25	4	24
SPU_001944	Scaffold151	238460	239460	-	1001	0	5	1	2	0	0	0	0	4	2	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	2	1	0	1	1	0
SPU_001941	Scaffold151	237766	238766	+	1001	0	2	0	0	0	0	0	2	2	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1
SPU_020326	Scaffold151	285821	286821	+	1001	0	3	1	5	1	8	2	10	5	4	15	3	8	4	2	4	3	15	0	5	6	1	6	1	3	0	3	4	4	3	0	3	2	0	2
SPU_001943	Scaffold151	300245	301245	+	1001	0	2	3	0	2	0	2	2	0	0	1	1	0	0	0	1	0	5	1	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	2
SPU_017202	Scaffold151	473932	474932	-	1001	1	4	8	2	1	2	2	1	3	8	7	1	0	2	0	7	5	3	2	2	4	3	2	2	5	2	0	2	4	2	4	4	4	3	10
SPU_014838	Scaffold151	691660	692660	-	1001	41	106	94	85	61	65	57	46	83	49	62	35	91	47	52	85	68	130	69	75	41	22	93	66	82	38	107	51	49	63	61	51	58	79	51
SPU_019900	Scaffold151	625140	626140	-	1001	11	20	17	14	2	8	13	14	12	14	19	8	14	9	6	12	10	28	18	16	17	5	22	11	21	9	13	19	8	12	1	7	11	6	10
SPU_021153	Scaffold151	633511	634511	-	1001	33	63	58	48	32	47	47	43	77	66	61	37	48	36	47	53	55	72	41	84	50	19	62	46	41	47	48	42	43	44	23	37	52	40	53
SPU_025809	Scaffold151	817462	818462	+	1001	18	50	49	18	5	9	20	25	39	28	30	6	14	15	9	18	14	34	28	13	9	2	4	9	17	13	12	15	23	16	6	9	16	16	17
SPU_008312	Scaffold468	22113	23113	+	1001	7	25	17	21	6	13	11	21	43	31	26	23	12	14	22	27	29	25	23	23	15	2	15	16	32	25	17	21	25	20	6	23	15	15	20
SPU_015980	Scaffold468	147836	148836	+	1001	1	5	0	2	0	3	0	5	4	7	6	1	2	3	5	3	3	5	2	0	5	0	1	4	3	0	1	1	6	3	0	2	5	2	2
SPU_015985	Scaffold468	186067	187067	-	1001	1	1	4	1	0	2	0	3	2	3	0	0	0	1	1	3	0	5	3	1	0	2	0	0	2	3	1	2	3	1	1	1	4	2	1
ENSRNA022745500	Scaffold468	187329	188329	-	1001	23	14	3	16	8	11	13	1	13	6	20	5	12	6	3	9	6	16	7	5	8	1	7	9	1	0	7	9	1	17	20	8	10	5	6
SPU_015984	Scaffold468	255562	256562	-	1001	28	74	103	56	26	45	40	76	71	93	68	40	75	30	55	85	76	111	84	78	45	21	94	58	88	82	85	47	70	66	29	74	73	70	75
SPU_015981	Scaffold468	259424	260424	+	1001	1	13	10	2	0	2	6	9	8	11	6	1	6	3	5	4	2	9	8	1	7	0	1	2	6	3	3	4	8	2	1	5	4	2	5
SPU_015983	Scaffold468	346357	347357	-	1001	0	0	0	1	1	2	0	3	0	3	1	0	1	2	0	0	1	0	0	1	0	0	1	0	1	2	1	1	3	0	0	1	0	2	1
SPU_015982	Scaffold468	359010	360010	+	1001	1	5	1	0	0	1	0	1	2	1	1	0	1	0	0	1	1	0	2	1	1	0	0	0	0	0	1	0	3	1	1	0	0	0	2
SPU_008000	Scaffold468	392474	393474	-	1001	0	1	2	0	0	0	0	3	2	4	2	0	1	2	2	0	1	5	0	1	1	0	0	4	1	1	0	0	3	0	0	0	1	1	2
SPU_010425	Scaffold468	392492	393492	-	1001	1	1	2	0	0	0	0	3	2	4	2	0	1	2	2	0	1	5	0	1	1	0	0	3	1	1	0	0	2	0	0	0	1	1	2
SPU_010424	Scaffold468	457424	458424	-	1001	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
SPU_010423	Scaffold468	540089	541089	-	1001	2	21	16	7	2	6	4	15	18	21	12	0	9	4	7	12	3	24	11	7	17	5	4	7	14	11	18	4	15	9	2	7	12	9	10
SPU_010426	Scaffold468	565369	566369	+	1001	2	15	10	5	5	5	7	12	9	15	13	4	14	3	2	6	2	14	6	4	5	1	8	8	9	11	7	4	11	6	1	5	7	10	3
SPU_010422	Scaffold468	628987	629987	-	1001	1	1	5	1	1	1	1	2	1	6	5	0	4	1	3	3	0	7	2	1	3	1	1	4	0	5	3	1	3	0	2	2	3	1	3
SPU_004026	Scaffold468	618292	619292	-	1001	7	22	20	16	8	11	22	10	34	25	19	15	15	18	13	19	16	38	36	16	13	2	16	25	30	9	13	14	16	15	0	11	18	14	15
SPU_010421	Scaffold468	656717	657717	-	1001	3	19	11	4	1	4	5	16	9	17	3	6	7	9	4	5	7	14	7	6	7	0	4	6	8	5	4	13	18	3	2	7	10	9	8
SPU_010420	Scaffold468	670418	671418	-	1001	1	1	6	1	0	0	1	3	3	4	2	1	2	2	0	0	1	2	8	1	3	0	1	2	4	2	3	3	2	0	0	0	4	1	5
SPU_010419	Scaffold468	675099	676099	-	1001	3	6	3	6	1	3	5	4	4	2	3	0	1	3	0	3	0	10	3	1	0	0	2	5	2	1	0	1	4	4	0	0	1	0	3
SPU_010418	Scaffold468	681149	682149	-	1001	12	26	23	18	4	18	20	20	17	23	22	13	17	6	20	21	25	60	24	35	21	8	43	25	22	23	24	20	17	21	17	11	22	20	18
SPU_010427	Scaffold468	677204	678204	+	1001	4	4	5	6	2	6	5	2	4	5	7	2	4	3	2	4	3	13	2	5	3	4	5	5	6	2	6	3	5	2	2	2	3	2	3
SPU_014694	Scaffold468	682018	683018	+	1001	13	10	9	10	6	6	10	5	18	6	15	9	8	6	8	13	17	25	10	27	15	6	14	16	12	13	14	10	4	17	10	8	25	12	8
SPU_010417	Scaffold468	722693	723693	-	1001	10	30	29	15	8	13	15	22	29	40	20	19	16	9	23	21	12	41	20	29	24	4	27	23	43	23	26	19	24	24	11	23	29	12	20
SPU_009055	Scaffold468	738923	739923	+	1001	0	16	4	3	1	2	3	8	14	10	5	3	4	3	4	5	2	16	7	5	4	0	3	1	5	4	2	2	2	6	0	4	4	1	1
SPU_027271	Scaffold468	775437	776437	-	1001	5	16	7	6	3	7	4	18	12	20	11	10	5	8	6	10	8	13	7	10	10	2	5	7	11	5	5	7	12	9	4	7	9	7	11
SPU_010428	Scaffold468	750736	751736	+	1001	6	6	5	6	3	7	5	3	9	12	17	5	5	4	5	8	4	8	5	7	4	1	6	5	8	11	5	3	2	2	2	5	3	2	5
SPU_027268	Scaffold468	762856	763856	+	1001	1	3	4	1	0	1	3	1	1	5	2	3	1	1	0	2	1	5	2	0	1	0	2	2	1	1	0	0	2	0	0	1	0	1	1
SPU_027270	Scaffold468	786751	787751	+	1001	6	25	6	4	7	4	17	13	19	12	9	5	7	6	14	17	9	24	22	8	11	2	8	8	8	10	5	8	9	7	1	6	6	12	7
SPU_008037	Scaffold468	799980	800980	-	1001	0	1	3	6	1	0	1	0	1	2	2	0	1	0	1	1	0	1	1	2	0	0	0	0	1	0	2	2	3	1	2	0	1	0	1
SPU_010416	Scaffold468	800037	801037	-	1001	0	1	2	6	1	0	1	0	1	2	2	0	1	0	1	1	0	1	1	2	0	0	0	0	1	0	2	2	3	1	2	0	1	0	1
